"","positive_012.jpg","positive_041.jpg","positive_047.jpg","positive_073.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2391.jpg","positive_2395.jpg","positive_2501.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_b.jpg","positive_g6.jpg","positive_p1.jpg","positive_s1.jpg","positive_y5.jpg","positive_t1.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"positive_041.jpg",0,0,0,0,0,0,0,0,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_047.jpg",0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0.333333333333333,0,0,0,0,1,0,0,0
"positive_073.jpg",0,0,0,0,0,0,0.5,0,1,1,1,0,0.5,1,1,0,0,0,1,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,1,0,0,0,1,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_2300.jpg",0,0,0,0.5,0.5,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0
"positive_2304.jpg",1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.333333333333333,0,0
"positive_2391.jpg",1,0.25,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
"positive_2395.jpg",1,0.5,0,1,0,1,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0
"positive_2501.jpg",0,1,0.666666666666667,1,0,0,0.333333333333333,0,0,0,0,0.5,0,0,1,0,0,0,1,0.5,0,1,0,0,0
"positive_4598.jpg",0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_4689.jpg",0,0,1,0.5,0.333333333333333,0,0,0,0,0.333333333333333,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"positive_5628.jpg",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0
"positive_5830.jpg",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"positive_7660.jpg",0,0,0.333333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"positive_8120.jpg",0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0.75,1,0,0,1,0,0
"positive_8300.jpg",0,0,0,1,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0.75,0,0.333333333333333,0,0,1,0,1
"positive_b.jpg",0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0.5,0,1,0,1,0.333333333333333,0,1,0,0,1,0
"positive_g6.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"positive_p1.jpg",1,0,1,0,0,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_s1.jpg",0,0,0,0,0,0,0,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"positive_y5.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
