"","positive_015.jpg","positive_047.jpg","positive_2025.jpg","positive_2300.jpg","positive_2304.jpg","positive_2391.jpg","positive_2395.jpg","positive_2501.jpg","positive_4574.jpg","positive_4598.jpg","positive_5831.jpg","positive_7325.jpg","positive_7502.jpg","positive_7660.jpg","positive_8300.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_g6.jpg","positive_m9.jpg","positive_r4.jpg","positive_S22.jpg","positive_s5.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_015.jpg",0,0,0,0,0,0.25,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"positive_047.jpg",0,0,0,0,0,0.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0
"positive_2025.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"positive_2300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5
"positive_2304.jpg",0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0.333333333333333,0,1,0,0,0
"positive_2391.jpg",0.25,0.5,0,0,0,0,0,1,0.333333333333333,0,1,0.5,0,0,0,0.333333333333333,0,0,0.5,0,0,1,0,0,0.333333333333333
"positive_2395.jpg",0,1,0,0,0,0,0,0,1,0,0,0,0,0.75,0.5,0,0,0.5,0,0,1,0,0,0,0
"positive_2501.jpg",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,1
"positive_4574.jpg",0,1,0,0,1,0.333333333333333,1,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0
"positive_4598.jpg",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_5831.jpg",0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"positive_7325.jpg",0,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0
"positive_7502.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,1,1,0,1,1,0.5,0,0
"positive_7660.jpg",1,0,0,1,0,0,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0
"positive_8300.jpg",0,0,0,0,1,0,0.5,0.5,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667
"positive_8470.jpg",0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0.333333333333333,1,0,0,0,0,0,0,0,1,0,0,1
"positive_b.jpg",0,0,1,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0.5
"positive_c1.jpg",1,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0.25,0,0.5,1,0.333333333333333,0
"positive_g6.jpg",0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.5,0,0,0.5
"positive_m9.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,1,0.333333333333333,0,0
"positive_r4.jpg",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_S22.jpg",0,0.5,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0.5,0.5,1,0,0,0,0,0
"positive_s5.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.333333333333333,0,0,0,1,0
"positive_t1.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0.5,0,1,0,0
"positive_y5.jpg",0,0,1,0.5,0,0.333333333333333,0,1,0,0,0,0,0,0,0.666666666666667,1,0.5,0,0.5,0,0,0,0,0,0
