"","negative_113.jpg","negative_206.jpg","negative_2095.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_228.jpg","negative_2458.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_9041.jpg","negative_9440.jpg","negative_AF3.jpg","negative_DP3.jpg","negative_I1.jpg","negative_FP3.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0.5,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0
"negative_206.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"negative_2095.jpg",0.5,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0.5,0,0,0,0.666666666666667,1,0,0,0,0,1
"negative_2130.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"negative_214.jpg",0,1,1,0.333333333333333,0,0.75,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"negative_215.jpg",0,0,0,0,0.75,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0
"negative_228.jpg",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"negative_2458.jpg",1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_2753.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0.333333333333333,0,0,0,1,0,0
"negative_2810.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.333333333333333,0,0,1,0.666666666666667,0.75
"negative_3180.jpg",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,1
"negative_3280.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6211.jpg",0.5,0,0,1,0,0,0,0,0.333333333333333,0.5,0,0,0,0.5,0,1,0,1,0,0,0.75,0,0,0,0
"negative_6212.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_6311.jpg",0,1,0.5,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5
"negative_6555.jpg",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,1,0,0,0.8,0,1,0,0
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"negative_9041.jpg",0,1,0.666666666666667,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"negative_9440.jpg",0,0,1,0,1,1,1,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_AF3.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0.75,0.5,0,0,0.8,1,0,0,0,0,1,0,0
"negative_DP3.jpg",0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"negative_I1.jpg",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"negative_FP3.jpg",1,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"negative_SF4.jpg",0,0,1,0,0,0,1,0,0,0.75,1,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0
