"","positive_1601.jpg","positive_2025.jpg","positive_2034.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7660.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_r4.jpg","positive_s1.jpg","positive_S22.jpg","positive_s5.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_1601.jpg",0,0,0.25,0,0,0.5,1,0,1,0.5,0,1,0.75,0.333333333333333,0,0.5,1,0,0,0,0,0.333333333333333,0,1,0.25
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_2034.jpg",0.25,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0.5,0,0,0,0.5
"positive_2391.jpg",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.5,0.666666666666667,0,0,0,0.5,0,0,0,1,0
"positive_2395.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.333333333333333,0,0
"positive_2550.jpg",0.5,0,0,1,0,0,1,0,0,0,0.5,1,0,1,0.333333333333333,1,0,1,0,0,0,0,0,1,0
"positive_4574.jpg",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0,0,1,0,1,0
"positive_4598.jpg",0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.333333333333333,1,0,0,0,0,0,0,0.5,0,0
"positive_5628.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,0,0,0,1,0,1,0,0,0
"positive_5830.jpg",0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"positive_5831.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,1
"positive_7325.jpg",1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"positive_7499.jpg",0.75,0,0.333333333333333,0,0,0,0,1,0.666666666666667,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
"positive_7660.jpg",0.333333333333333,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
"positive_8461.jpg",0,0,0,0.5,0,0.333333333333333,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"positive_8470.jpg",0.5,0,0,0.666666666666667,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"positive_b.jpg",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1
"positive_c1.jpg",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"positive_d6.jpg",0,0,0,0,0,0,0.2,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0,0,1,0,0
"positive_r4.jpg",0,0,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"positive_s1.jpg",0,1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0
"positive_S22.jpg",0.333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.5,0,0
"positive_s5.jpg",0,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0
"positive_t1.jpg",1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"positive_y5.jpg",0.25,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
