"","positive_015.jpg","positive_041.jpg","positive_047.jpg","positive_073.jpg","positive_1601.jpg","positive_2025.jpg","positive_2034.jpg","positive_2300.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7499.jpg","positive_8300.jpg","positive_8461.jpg","positive_c1.jpg","positive_m9.jpg","positive_s1.jpg","positive_s2.jpg","positive_S22.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_015.jpg",0,0,0.5,1,0,0,1,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0.333333333333333
"positive_041.jpg",0,0,0,1,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"positive_047.jpg",0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"positive_073.jpg",1,1,1,0,0,1,1,1,0,1,0.5,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,0
"positive_1601.jpg",0,0.5,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0
"positive_2025.jpg",0,0,0,1,0,0,1,0,0,0,0,1,0.5,0,0,0.333333333333333,0,0.5,0,0,0,0,0,0,0
"positive_2034.jpg",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,1,1,0,1,0
"positive_2300.jpg",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_2391.jpg",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
"positive_2501.jpg",0.5,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0
"positive_2550.jpg",0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"positive_4574.jpg",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5
"positive_5628.jpg",0,0,0,0,0,0.5,0,0,1,0,0,1,0,1,0.5,0,1,0,0,0,0,0,0,0,0
"positive_5830.jpg",0,1,0,0,0,0,0,0,0,1,1,0,1,0,0.333333333333333,0,0.5,0,0,0,0,0,0,0,0
"positive_5831.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0,1,0,0,0,0,0,1,0,0
"positive_7499.jpg",0,0,0,0.333333333333333,0,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"positive_8300.jpg",0,0,0.5,0,0,0,0,0,1,1,1,0,1,0.5,1,0,0,0,0,0.5,0,0.5,0,0,0
"positive_8461.jpg",0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"positive_c1.jpg",1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0,1,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0
"positive_s1.jpg",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"positive_s2.jpg",0,1,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,1
"positive_S22.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_y5.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0
