"","negative_206.jpg","negative_2095.jpg","negative_2130.jpg","negative_214.jpg","negative_216.jpg","negative_217.jpg","negative_2410.bmp","negative_2458.jpg","negative_6211.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L02.bmp","negative_L04.bmp","negative_L29.bmp","negative_L24.bmp"
"negative_206.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0.5,0,0.333333333333333,0
"negative_2095.jpg",0,0,0,0,1,0,0,0,0.333333333333333,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0
"negative_2130.jpg",0,0,0,0.5,0.5,1,0,0,1,0,0,0,0.25,0,0.333333333333333,0,1,0,0,0,0,0,0.5,0,0
"negative_214.jpg",0.5,0,0.5,0,0,1,0,0,1,1,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0
"negative_216.jpg",0,1,0.5,0,0,0,1,1,0.5,0,1,1,1,1,0,1,0,1,0,0.5,0,1,0.5,0,0
"negative_217.jpg",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.8,0,0.5,1,0,0
"negative_2410.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0
"negative_6211.jpg",0,0.333333333333333,1,1,0.5,0,0,0,0,0,1,0.666666666666667,0,0,1,0,0,0.5,0,0.333333333333333,0,0,1,0,0
"negative_6212.jpg",0,1,0,1,0,0,0,0.333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"negative_6510.jpg",0,1,0,0.5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"negative_65701_1.jpg",0,0,0.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"negative_9190.jpg",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,1,0
"negative_9530.bmp",0.333333333333333,0,0.333333333333333,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"negative_9600.jpg",0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333333333,0
"negative_AF3.jpg",0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"negative_DF1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_DP3.jpg",0,0,0,0,0.5,0.8,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"negative_FP3.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0
"negative_L02.bmp",0.5,1,0,0,1,0.5,0,0,0,0,0,1,0,0.333333333333333,1,1,0,0,0,0,0,0,1,0,1
"negative_L04.bmp",0,0,0.5,0,0.5,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"negative_L29.bmp",0.333333333333333,0.5,0,1,0,0,0,0.333333333333333,0,1,0,0,0,1,1,0.333333333333333,0,1,0,0,0,0,0,0,0
"negative_L24.bmp",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
