"","negative_206.jpg","negative_214.jpg","negative_215.jpg","negative_217.jpg","negative_224.jpg","negative_2410.bmp","negative_251.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6510.jpg","negative_6555.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9600.jpg","negative_b7.jpg","negative_c5.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_206.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0.333333333333333,0
"negative_214.jpg",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5
"negative_215.jpg",0,1,0,0,0,0,1,0,0,1,0,0.5,0.5,0.5,1,0.333333333333333,0,0,0,0,1,0,0,0,0
"negative_217.jpg",0,1,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"negative_224.jpg",0,0,0,0.5,0,1,0,0,1,0,0,0,0,1,0,0,1,0.5,0,0.5,0,1,0,0.5,0
"negative_2410.bmp",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0
"negative_251.jpg",0.5,0,1,0,0,1,0,0,0,0.5,0,0,0.5,0,1,0,0,1,0.5,0,1,0,0,0,0
"negative_2753.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0
"negative_2810.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"negative_3180.jpg",0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,1,0,1,0
"negative_6510.jpg",0,0,0,0.333333333333333,0,0,0,0,0,1,0,1,0,0,0.333333333333333,0,0,0,0.5,0,1,0,0,0,0
"negative_6555.jpg",0,0,0.5,0,0,0,0,0,1,0,1,0,0,0.5,1,1,0,0,0,0.5,0,0,0,0.5,0.5
"negative_9041.jpg",0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,1,0,0,0
"negative_9190.jpg",0,1,0.5,0,1,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"negative_9440.jpg",0,0,1,0,0,0,1,0,1,1,0.333333333333333,1,0,0,0,0.666666666666667,0,0,1,0,0.5,0,0,0.5,0
"negative_9600.jpg",0,0,0.333333333333333,0,0,0,0,0.5,1,0.5,0,1,0,0,0.666666666666667,0,0,0.333333333333333,0,0.5,0,0,0.333333333333333,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.5
"negative_c5.jpg",1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.5,0,1,0.5,0,0,0
"negative_FP3.jpg",0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0
"negative_I1.jpg",0,0,0,1,0.5,1,0,1,1,0,0,0.5,0,0,0,0.5,0.333333333333333,0,0.5,0,0,0,0,0,0.333333333333333
"negative_L02.bmp",0,0,1,0,0,0,1,0,0,0,1,0,0.25,0,0.5,0,0.333333333333333,1,0,0,0,0,0.5,0,0
"negative_L04.bmp",0.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,1,0.5
"negative_L08.bmp",0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,1,0.5
"negative_MF2.jpg",0.333333333333333,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0.5,0.5,0,0,0,0,0,0,1,1,0,0
"negative_SF4.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.333333333333333,0,0.5,0.5,0,0
