"","negative_207.jpg","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_251.jpg","negative_2750.jpg","negative_3180.jpg","negative_3280.jpg","negative_6311.jpg","negative_6821.jpg","negative_8231.jpg","negative_9190.jpg","negative_9421.jpg","negative_9440.jpg","negative_9600.jpg","negative_DF1.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg","negative_T1.jpg","negative_SF4.jpg"
"negative_207.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.666666666666667,1,0,0
"negative_2095.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0.5,0
"negative_215.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.666666666666667,0.5,0,0,1,0,0,0
"negative_251.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5
"negative_2750.jpg",0,0.5,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"negative_3180.jpg",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.5,0.5,0,1,0,0,0,1,0.5,0,0
"negative_3280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
"negative_6311.jpg",0,0,0,0,0,0.5,1,1,0,0,1,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0
"negative_6821.jpg",0,0,1,0,1,0,1,0,0,1,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0.5,0
"negative_8231.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_9190.jpg",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,1,0,0,0,0
"negative_9421.jpg",0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,1,0.5,0.5,0,0,1,0,0,0
"negative_9440.jpg",0,0,0,0,0,1,1,0.5,0,1,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0
"negative_9600.jpg",0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_DF1.jpg",1,0,0,1,0,0,0,0,0.5,0,0,0,0.5,1,0.5,1,0,0,0,0.5,0,0,0,0,0.5
"negative_h11.bmp",0,1,1,0,0.666666666666667,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,1,0,0
"negative_I1.jpg",0,0,1,0,0.5,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,1,0
"negative_L02.bmp",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,1,1,0
"negative_L08.bmp",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
"negative_L29.bmp",0.666666666666667,1,1,0,1,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0.5,0.5,1,0,1,0,0
"negative_MF2.jpg",1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.666666666666667
"negative_T1.jpg",0,0,0.5,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"negative_SF4.jpg",0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0
