"","neutral_099.jpg","neutral_103.jpg","neutral_104.jpg","neutral_114.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_169.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_BP5.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"neutral_103.jpg",0,0,1,0,0,0,0,0,0,1,1,1,0.333333333333333,0,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0
"neutral_104.jpg",1,1,0,1,1,0.25,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,1,0
"neutral_114.jpg",0,0,1,0,1,0,0.5,0,0,0,0,0,1,0,0.5,0,1,0,1,0,0,0,1,0,0
"neutral_124.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0.5,1
"neutral_156.jpg",0.5,0,0.25,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0
"neutral_157.jpg",0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"neutral_194.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"neutral_199.jpg",0,1,0,0,0,0.333333333333333,1,0,0.5,0,0,0,0,0,0,1,0,0.333333333333333,1,1,0,0,0,0,0
"neutral_2200.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0
"neutral_2305.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0
"neutral_2393.jpg",0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,1,0,1,1,0,0,1
"neutral_2442.jpg",1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_BP5.jpg",0,1,0.5,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N01.bmp",0,0,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_N04.bmp",0,0.5,0.5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,0
"neutral_N05.bmp",0,0.5,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0
"neutral_N07.bmp",0,0,0,1,0,0,0.5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"neutral_N12.bmp",0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.5,1,0,0,0
"neutral_N20.bmp",0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0.333333333333333,1,0.5,0,0,0,0,0
"neutral_N22.bmp",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"neutral_n5.jpg",0,0.5,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0
"neutral_NF4.jpg",0,0.5,1,0,0.5,0,0,0,0,0,0.5,1,0,0.5,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0
"neutral_SP3.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
