"","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_2458.jpg","negative_2810.jpg","negative_3280.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_L29.bmp","negative_T1.jpg"
"negative_207.jpg",0,0,0,0.5,0,0.5,1,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5
"negative_2095.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"negative_2122.jpg",0,0,0,0,0,0,1,1,0.666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_2130.jpg",0.5,0,0,0,0,1,0,0.666666666666667,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,1,0
"negative_2810.jpg",0.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_3280.jpg",1,0,1,0,0,0,0,0.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_6311.jpg",0,1,1,0.666666666666667,0,0,0.5,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,1,0,0
"negative_6510.jpg",1,0,0.666666666666667,0.5,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.333333333333333,0,0
"negative_6555.jpg",0,0,1,0.5,0,1,1,1,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_9190.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,0,1,0,0,1,1
"negative_9530.bmp",0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
"negative_9600.jpg",0,1,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,1,0,0,0,0.666666666666667,0,0,1,1
"negative_AF3.jpg",0.5,0,0,1,0,0,1,0,0.5,0.666666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"negative_c5.jpg",1,1,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,1,0,0,1,1,1,1,0
"negative_DF1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.5
"negative_FP3.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.5,0,1,0
"negative_I1.jpg",0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,0,0,0,0,0,0,0,0,0,0,1,1,0.666666666666667,0,0,1,0,0,0,0,0,0,1,0
"negative_L04.bmp",0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0
"negative_L08.bmp",0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
"negative_L29.bmp",0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0
"negative_T1.jpg",0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.5,0,0,0,0,1,0,0
