"","neutral_082.jpg","neutral_099.jpg","neutral_106.jpg","neutral_121.jpg","neutral_124.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0.75,0.5,0,0,0,1,0,0,0,0.5,0.5,0,0,1,0,1,0.5,0.5,0,0.666666666666667,0,0,0
"neutral_099.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_106.jpg",0.75,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"neutral_121.jpg",0.5,0,0,0,1,0,0,0,0,1,0.333333333333333,1,1,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0
"neutral_124.jpg",0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0
"neutral_186.jpg",0,0,1,0,0,0,0,0,0,0.5,0,0,1,1,1,0.5,0,0.5,0,0,0.5,0,0,0.333333333333333,0
"neutral_191.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_194.jpg",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,1,0.333333333333333,0,0,1,1
"neutral_2305.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0
"neutral_2394.jpg",0,0,0,1,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,1
"neutral_2850.jpg",0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0.5,0
"neutral_D.jpg",0.5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0,0,1,0,0,0
"neutral_N01.bmp",0.5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"neutral_N07.bmp",0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N19.bmp",1,0,0,1,0,0.5,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"neutral_N20.bmp",0,0,0,0,0,0,1,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
"neutral_N22.bmp",1,0,0,0,0.666666666666667,0.5,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0.333333333333333,1,0
"neutral_N31.bmp",0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,1,0.25,1,0,0.5,0,0,0,0,0
"neutral_n5.jpg",0.5,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0
"neutral_NF1.jpg",0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"neutral_r.jpg",0.666666666666667,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_S5.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1
"neutral_SP3.jpg",0,0,1,0.333333333333333,0,0.333333333333333,0,1,0,1,0.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"neutral_SP2.jpg",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
