"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_078.jpg","positive_2002.jpg","positive_2034.jpg","positive_2391.jpg","positive_2501.jpg","positive_4689.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8470.jpg","positive_c1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_p1.jpg","positive_s2.jpg","positive_S22.jpg","positive_t1.jpg"
"positive_015.jpg",0,0.333333333333333,1,0,1,0,1,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0
"positive_032.jpg",0.333333333333333,0,1,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,1,0,0,0,1,1,0.5,0,0
"positive_041.jpg",1,1,0,0,0.5,0,0.666666666666667,0,0.5,0,0,0,0,0.5,1,0,0,0.333333333333333,0,0,0,1,0,1,0
"positive_042.jpg",0,0,0,0,0.25,0,0.5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"positive_078.jpg",1,0,0.5,0.25,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"positive_2034.jpg",1,0,0.666666666666667,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"positive_2391.jpg",0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"positive_2501.jpg",0.333333333333333,0,0.5,0,0,0,0,1,0,1,0.75,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"positive_4689.jpg",0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"positive_5830.jpg",0,0.333333333333333,0,0,0,0.5,0.5,0,0.75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_5831.jpg",0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0
"positive_7325.jpg",0,0,0,0,0,1,0,1,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0
"positive_7502.jpg",0,0,0.5,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0
"positive_7660.jpg",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0.5,1
"positive_8120.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,1
"positive_8470.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,0,1,1
"positive_c1.jpg",0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
"positive_g6.jpg",0,0,0,0,0,1,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_hp2.jpg",0,0,0,1,0,0,0,0,1,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1
"positive_m9.jpg",0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0
"positive_p1.jpg",0,1,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0
"positive_s2.jpg",1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.666666666666667,0
"positive_S22.jpg",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0,1,0,0.5,0,0.5,0,0.666666666666667,0,0
"positive_t1.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
