"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_114.jpg","neutral_117.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N31.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,1,0,0,0,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_099.jpg",1,0,0,0,1,1,0.5,0.333333333333333,1,0,0,1,0,1,0,0.5,0,0,0,1,0.5,0,0,0,0
"neutral_103.jpg",0,0,0,0,0,1,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_106.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"neutral_114.jpg",0,1,0,0,0,0.5,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
"neutral_117.jpg",0,1,1,0.5,0.5,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"neutral_157.jpg",0.5,0.5,0,0,0,0,0,0.5,0,0,0,1,0,0.5,0,1,0,0,1,1,1,0,0,0,0
"neutral_169.jpg",0.5,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.666666666666667,0,0,0
"neutral_191.jpg",1,1,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5
"neutral_199.jpg",1,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_2019.jpg",0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1
"neutral_2442.jpg",0,1,0,0,1,0,1,0,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0
"neutral_2495.jpg",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0
"neutral_2745.1.jpg",0,1,0,0,1,0,0.5,1,1,0.5,0,0.5,0,0,0,1,1,0,1,0.5,0,0.333333333333333,0,0,0
"neutral_BP5.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"neutral_N05.bmp",0,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0
"neutral_N07.bmp",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.5,0,0,0
"neutral_N12.bmp",0,0,0,0,1,0,0,1,0,0.5,0,0.5,0,0,0,0,1,0,0.5,1,1,0,0,0,0
"neutral_N13.bmp",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.5,0,0,1,0,0,0,0
"neutral_N17.bmp",0,1,0,0,1,0,1,0,0,0,0.5,0,0,0.5,0,0,1,1,0,0,1,0,0,0,0
"neutral_N31.bmp",0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"neutral_NF1.jpg",0,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,0,1,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_SP2.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"neutral_SP3.jpg",0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
