"","negative_113.jpg","negative_206.jpg","negative_2130.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_9041.jpg","negative_9421.jpg","negative_9600.jpg","negative_b7.jpg","negative_h11.bmp","negative_L02.bmp","negative_L04.bmp","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0
"negative_206.jpg",1,0,0,0,0,0,0,0.5,0,1,1,0.6,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,1,0,0,1,0,0,0,0,0.5,0,0,0
"negative_228.jpg",0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"negative_2410.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0,0,0,0.5,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2750.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5
"negative_2753.jpg",0,0.5,0.5,0,0,0.333333333333333,0,0,0.666666666666667,0.5,0,0.5,0,0,1,0,0.666666666666667,0,0,0,0.5,0,0,1,0
"negative_2810.jpg",0,0,0,1,0,1,0,0.666666666666667,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0.5,0,0,0
"negative_3180.jpg",1,1,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0.5,0,0,0,1,1,0,0,1,0
"negative_6212.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"negative_6311.jpg",1,0.6,1,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0.333333333333333,1,0,0,0,0,0,0,1
"negative_6510.jpg",0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_65701_1.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0.333333333333333,0,0
"negative_9041.jpg",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"negative_9421.jpg",1,0,0,1,0,0,0,0,1,0.5,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0.5,1
"negative_9600.jpg",0,0,1,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,1,1,0,0,0,0.5,0,0.5,0,0,0,0
"negative_b7.jpg",0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"negative_h11.bmp",0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,1,0,1,0.5,1,0
"negative_L02.bmp",0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"negative_L04.bmp",0.666666666666667,0,0,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0.5,0,0,0,0,1,1,0.5,0
"negative_L24.bmp",0,0,0.5,1,0,0,0,0,0.5,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
"negative_L29.bmp",0.333333333333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0.5,0,1,0,0,1,0
"negative_MF2.jpg",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,1,1,0,0
"negative_SF4.jpg",0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
