"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_215.jpg","negative_217.jpg","negative_2410.bmp","negative_2458.jpg","negative_2750.jpg","negative_2753.jpg","negative_6211.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_DF1.jpg","negative_h11.bmp","negative_L29.bmp","negative_L08.bmp","negative_T1.jpg","negative_MF2.jpg"
"negative_113.jpg",0,0,0,0,0,0,0,0.5,1,0.333333333333333,0,0,0,0.666666666666667,0,0.666666666666667,0,0.5,0,1,0,0,0,0,0
"negative_207.jpg",0,0,0.5,0,0,0,0,1,0,0,0,0.333333333333333,0,0.333333333333333,0,1,0,0.5,0.5,0.5,0,0,1,0,1
"negative_2095.jpg",0,0.5,0,0,0.666666666666667,0.5,1,0,0,1,0.5,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"negative_2122.jpg",0,0,0,0,0,0.333333333333333,0,1,0,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_215.jpg",0,0,0.666666666666667,0,0,1,0.5,0,0.333333333333333,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.5,0
"negative_217.jpg",0,0,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.666666666666667,0.5,1
"negative_2410.bmp",0,0,1,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"negative_2458.jpg",0.5,1,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0,0,0,0
"negative_2750.jpg",1,0,0,0,0.333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"negative_2753.jpg",0.333333333333333,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"negative_6211.jpg",0,0,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0
"negative_6510.jpg",0,0.333333333333333,0,0.5,1,0,0,0,1,1,1,0,1,0.5,0,0,1,1,0,0,0,0,0,1,0
"negative_65701_1.jpg",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.5,0,1,0.666666666666667,0,0,0,0,0.5,0.5,0
"negative_6821.jpg",0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0
"negative_9041.jpg",0,0,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0
"negative_9190.jpg",0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0,0,0,0,1
"negative_9600.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,1,0,0,0.666666666666667,0
"negative_AF3.jpg",0.5,0.5,0,0,0,0,0,1,0,1,0,1,0.666666666666667,1,0,0.2,0,0,0,0,0,1,0,0,0
"negative_b7.jpg",0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.333333333333333
"negative_DF1.jpg",1,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0
"negative_h11.bmp",0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.5,0,0
"negative_L29.bmp",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"negative_L08.bmp",0,1,0,0,1,0.666666666666667,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_T1.jpg",0,0,1,0,0.5,0.5,0,0,0.333333333333333,0,0,1,0.5,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0,0
"negative_MF2.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0
