"","neutral_082.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_156.jpg","neutral_169.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N04.bmp","neutral_N12.bmp","neutral_N17.bmp","neutral_N20.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,1,1,1,0.5,0,0,0,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"neutral_114.jpg",1,0,0,0,0.5,0,0,0,0,0.5,0,1,0,0.5,0,1,0,0,1,0,0,1,0,0,0
"neutral_116.jpg",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"neutral_117.jpg",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.5,1
"neutral_121.jpg",0.5,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,1,0,0,1,0,0.5
"neutral_2019.jpg",0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"neutral_2200.jpg",0,0,0,0,0,0,0,0.5,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_2215.jpg",0.5,0.5,0,0,0,0,0,0.5,0,0,1,0.333333333333333,1,0,1,0,1,0.333333333333333,0,0,0,1,1,0,0
"neutral_2305.jpg",0,0,0,1,0,0,0,0,1,1,0,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0
"neutral_2394.jpg",1,1,1,1,1,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,0.333333333333333,0,0,1,0,0,0,0
"neutral_2495.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"neutral_2745.1.jpg",1,0.5,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5
"neutral_BP5.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_D.jpg",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_N04.bmp",1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"neutral_N12.bmp",0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333
"neutral_N17.bmp",0,1,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0.5,1,0
"neutral_N34.bmp",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.333333333333333,0,0
"neutral_NF1.jpg",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0.5,0.333333333333333,0,0,0.25,0
"neutral_SP2.jpg",0,0,0,0.5,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0.25,0,0
"neutral_SP3.jpg",0,0,0,1,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0,0
