"","negative_206.jpg","negative_2130.jpg","negative_216.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2750.jpg","negative_3280.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9421.jpg","negative_9440.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L04.bmp","negative_SF4.jpg"
"negative_206.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,1,0
"negative_2130.jpg",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_216.jpg",0,1,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
"negative_224.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0
"negative_228.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"negative_2410.bmp",0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0.5,0,0,1,0,0,0.333333333333333,0,0
"negative_2458.jpg",0,1,0.5,0.5,0,0.5,0,0,0,0,1,1,0,0,0,0.75,0,0,0.333333333333333,0,0,0,0,0.333333333333333,1
"negative_2750.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0.166666666666667,0
"negative_3280.jpg",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.25,0,0,1,0,0,0,0,1,0,0
"negative_6555.jpg",0,1,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.5,0,1,0
"negative_6821.jpg",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5
"negative_8231.jpg",0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,1,1,1,0.666666666666667,0,0
"negative_9041.jpg",1,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0
"negative_9190.jpg",0,0,0,0,0,0,0,0.333333333333333,0.25,0,0,0,0,0,0,0,0,0.5,0,0.4,0,0,0,0,0.5
"negative_9421.jpg",0,0,0,0,0,0,0.75,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.666666666666667,0,0.5,1
"negative_9440.jpg",0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0
"negative_c5.jpg",0.5,0,0,0,1,0,0.333333333333333,1,0,0,0,0,0,1,0,1,0.4,1,0,0,1,0,0,0.5,0
"negative_DF1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.4,1,0,0,0,0,0,1,0,1,0
"negative_DP3.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.5,0
"negative_h11.bmp",0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,1,0,0,0.666666666666667,0,0,0,1,1,0,0,0,0
"negative_I1.jpg",0,0,0,1,0,0.333333333333333,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L04.bmp",1,0,0,1,0,0,0.333333333333333,0.166666666666667,0,0,1,0,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0
"negative_SF4.jpg",0,0,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0
