question_id,qualtrics_var_name,new_var_name,scale,subscale,question_description,question_text
QID72,ac_paq,,,,"When you answer this question, choose strongly agree to get credit.","When you answer this question, choose strongly agree to get credit."
QID104,ac_tas,,,,"I am answering questions randomly, select strongly disagree on this item.","I am answering questions randomly, select strongly disagree on this item."
QID70,academic,,,,What is your academic status?,What is your academic status?
QID26,consent,,,,DESCRIPTION: You are invited to participate in a research study on emotion. The overall purpose o...,"DESCRIPTION: You are invited to participate in a research study on emotion. The overall purpose of the research is to learn more about emotion regulation and emotion awareness. In this study, you will be asked to complete questionnaires. You will then take part in a task where you view negative/neutral/positive emotional images. These images are drawn from scientifically validated image sets used to evoke emotions. They may contain neutral images (e.g., a mug of coffee), positive images (e.g. a small kitten), or negative images (e.g. a graphic surgical operation). Some of these stimuli might evoke intense negative emotions of disgust, anger, or sadness.     TIME INVOLVEMENT: Your participation will take approximately 1 hour. RISKS AND BENEFITS: We will do everything possible to maintain confidentiality and your name will not be associated with any of the data that you provide. There is a risk of emotional discomfort from taking part in this survey. Beyond any intrinsic satisfaction you feel from taking part in this research, there are no other benefits for you in participating. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your grades in school.       PAYMENTS: You will receive 1 SONA credit for your participation.       PARTICIPANT'S RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. Identifiers might be removed from identifiable private information and, after such removal, the information could be used for future research studies or distributed to another investigator for future research studies without additional informed consent from you.       CONTACT INFORMATION: Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, James J. Gross, Ph.D. at 650-723-1281 or gross@stanford.edu. Independent Contact: If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or email at irbnonmed@stanford.edu or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please print a copy of this page for your records. If you agree to participate in this research, please select “Yes, I agree to participate in this research” in the question below. "
QID114,erq_reap_fr_1,,,,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking...","When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about."
QID123,erq_reap_fr_10,,,,"When I want to feel less negative emotion, I change the way I’m thinking about the situation.","When I want to feel less negative emotion, I change the way I’m thinking about the situation."
QID116,erq_reap_fr_3,,,,"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking...","When I want to feel less negative emotion (such as sadness or anger), I change  what I’m thinking about."
QID118,erq_reap_fr_5,,,,"When I’m faced with a stressful situation, I make myself think about it in a way that helps me st...","When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm."
QID120,erq_reap_fr_7,,,,"When I want to feel more positive emotion, I change the way I’m thinking about the situation.","When I want to feel more positive emotion, I change the way I’m thinking about  the situation."
QID121,erq_reap_fr_8,,,,I control my emotions by changing the way I think about the situation I’m in.,I control my emotions by changing the way I think about the situation I’m in.
QID115,erq_supp_fr_2,,,,I keep my emotions to myself.,I keep my emotions to myself.
QID117,erq_supp_fr_4,,,,"When I am feeling positive emotions, I am careful not to express them.","When I am feeling positive emotions, I am careful not to express them."
QID119,erq_supp_fr_6,,,,I control my emotions by not expressing them.,I control my emotions by not expressing them.
QID122,erq_supp_fr_9,,,,"When I am feeling negative emotions, I make sure not to express them.","When I am feeling negative emotions, I make sure not to express them."
QID38,fss_1,,,,My motivation is lower when I am fatigued.,My motivation is lower when I am fatigued.
QID39,fss_2,,,,Exercise brings on my fatigue.,Exercise brings on my fatigue.
QID40,fss_3,,,,I am easily fatigued.,I am easily fatigued.
QID41,fss_4,,,,Fatigue interferes with my physical functioning.,Fatigue interferes with my physical functioning.
QID42,fss_5,,,,Fatigue causes frequent problems for me.,Fatigue causes frequent problems for me.
QID43,fss_6,,,,My fatigue prevents sustained physical functioning.,My fatigue prevents sustained physical functioning.
QID44,fss_7,,,,Fatigue interferes with carrying out certain duties and responsibilities.,Fatigue interferes with carrying out certain duties and responsibilities.
